ADM2_PCODE,ADM2_NAME,ADM1_PCODE,ADM1_NAME,COUNTRY,ISO3,ADMIN2_POPULATION,ADMIN2_AREA_SQ_KM,ADMIN2_GDP,ADMIN1_POPULATION,ADMIN1_AREA_SQ_KM,ADMIN1_GDP,ADMIN0_POPULATION,ADMIN0_AREA_SQ_KM,ADMIN0_GDP,,,,,,,,,,,,,,
TZ0901,Mtwara,TZ09,Mtwara,United Republic of Tanzania,TZA,"293,554",,,"1,709,290",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0902,Newala,TZ09,Mtwara,United Republic of Tanzania,TZA,"269,175",,,"1,709,290",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0903,Masasi,TZ09,Mtwara,United Republic of Tanzania,TZA,"329,815",,,"1,709,290",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0904,Tandahimba,TZ09,Mtwara,United Republic of Tanzania,TZA,"294,919",,,"1,709,290",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0905,Mtwara Urban,TZ09,Mtwara,United Republic of Tanzania,TZA,"145,017",,,"1,709,290",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0906,Nanyumbu,TZ09,Mtwara,United Republic of Tanzania,TZA,"200,513",,,"1,709,290",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0907,Masasi  Township Authority,TZ09,Mtwara,United Republic of Tanzania,TZA,"176,297",,,"1,709,290",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1001,Tunduru,TZ10,Ruvuma,United Republic of Tanzania,TZA,"425,981",,,"1,974,006",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1002,Songea,TZ10,Ruvuma,United Republic of Tanzania,TZA,"222,593",,,"1,974,006",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1003,Mbinga,TZ10,Ruvuma,United Republic of Tanzania,TZA,"520,621",,,"1,974,006",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1004,Songea Urban,TZ10,Ruvuma,United Republic of Tanzania,TZA,"319,905",,,"1,974,006",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1005,Namtumbo,TZ10,Ruvuma,United Republic of Tanzania,TZA,"272,394",,,"1,974,006",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1006,Nyasa,TZ10,Ruvuma,United Republic of Tanzania,TZA,"212,512",,,"1,974,006",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1101,Iringa,TZ11,Iringa,United Republic of Tanzania,TZA,"301,440",,,"1,250,034",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1102,Mufindi,TZ11,Iringa,United Republic of Tanzania,TZA,"348,975",,,"1,250,034",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1103,Iringa Urban,TZ11,Iringa,United Republic of Tanzania,TZA,"262,745",,,"1,250,034",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1104,Kilolo,TZ11,Iringa,United Republic of Tanzania,TZA,"268,687",,,"1,250,034",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1105,Mafinga Township Authority,TZ11,Iringa,United Republic of Tanzania,TZA,"68,187",,,"1,250,034",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1201,Chunya,TZ12,Mbeya,United Republic of Tanzania,TZA,"270,779",,,"2,572,667",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1202,Mbeya,TZ12,Mbeya,United Republic of Tanzania,TZA,"425,082",,,"2,572,667",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1203,Kyela,TZ12,Mbeya,United Republic of Tanzania,TZA,"351,697",,,"2,572,667",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1204,Rungwe,TZ12,Mbeya,United Republic of Tanzania,TZA,"435,722",,,"2,572,667",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1207,Mbarali,TZ12,Mbeya,United Republic of Tanzania,TZA,"460,142",,,"2,572,667",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1208,Mbeya Urban,TZ12,Mbeya,United Republic of Tanzania,TZA,"629,247",,,"2,572,667",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1301,Iramba,TZ13,Singida,United Republic of Tanzania,TZA,"319,456",,,"2,082,692",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1302,Singida,TZ13,Singida,United Republic of Tanzania,TZA,"336,324",,,"2,082,692",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1303,Manyoni,TZ13,Singida,United Republic of Tanzania,TZA,"529,466",,,"2,082,692",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1304,Singida Urban,TZ13,Singida,United Republic of Tanzania,TZA,"236,441",,,"2,082,692",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1305,Ikungi,TZ13,Singida,United Republic of Tanzania,TZA,"406,089",,,"2,082,692",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1306,Mkalama,TZ13,Singida,United Republic of Tanzania,TZA,"254,917",,,"2,082,692",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1401,Nzega,TZ14,Tabora,United Republic of Tanzania,TZA,"720,407",,,"3,779,315",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1402,Igunga,TZ14,Tabora,United Republic of Tanzania,TZA,"586,010",,,"3,779,315",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1403,Uyui,TZ14,Tabora,United Republic of Tanzania,TZA,"687,577",,,"3,779,315",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1404,Urambo,TZ14,Tabora,United Republic of Tanzania,TZA,"385,189",,,"3,779,315",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1405,Sikonge,TZ14,Tabora,United Republic of Tanzania,TZA,"296,356",,,"3,779,315",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1406,Tabora Urban,TZ14,Tabora,United Republic of Tanzania,TZA,"320,791",,,"3,779,315",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1407,Kaliua,TZ14,Tabora,United Republic of Tanzania,TZA,"782,984",,,"3,779,315",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1501,Kalambo,TZ15,Rukwa,United Republic of Tanzania,TZA,"349,388",,,"1,674,263",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1502,Sumbawanga,TZ15,Rukwa,United Republic of Tanzania,TZA,"513,950",,,"1,674,263",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1503,Nkasi,TZ15,Rukwa,United Republic of Tanzania,TZA,"463,004",,,"1,674,263",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1504,Sumbawanga Urban,TZ15,Rukwa,United Republic of Tanzania,TZA,"347,921",,,"1,674,263",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1601,Kibondo,TZ16,Kigoma,United Republic of Tanzania,TZA,"397,795",,,"3,299,759",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1602,Kasulu,TZ16,Kigoma,United Republic of Tanzania,TZA,"647,244",,,"3,299,759",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1603,Kigoma,TZ16,Kigoma,United Republic of Tanzania,TZA,"318,501",,,"3,299,759",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1604,Kigoma  Urban,TZ16,Kigoma,United Republic of Tanzania,TZA,"330,909",,,"3,299,759",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1605,Uvinza,TZ16,Kigoma,United Republic of Tanzania,TZA,"584,080",,,"3,299,759",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1606,Buhigwe,TZ16,Kigoma,United Republic of Tanzania,TZA,"386,605",,,"3,299,759",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1607,Kakonko,TZ16,Kigoma,United Republic of Tanzania,TZA,"256,601",,,"3,299,759",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1608,Kasulu Township Authority,TZ16,Kigoma,United Republic of Tanzania,TZA,"378,024",,,"3,299,759",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1701,Shinyanga Urban,TZ17,Shinyanga,United Republic of Tanzania,TZA,"229,802",,,"2,256,771",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1702,Kishapu,TZ17,Shinyanga,United Republic of Tanzania,TZA,"363,826",,,"2,256,771",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1703,Shinyanga,TZ17,Shinyanga,United Republic of Tanzania,TZA,"479,447",,,"2,256,771",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1704,Kahama,TZ17,Shinyanga,United Republic of Tanzania,TZA,"810,322",,,"2,256,771",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1705,Kahama Township Authority,TZ17,Shinyanga,United Republic of Tanzania,TZA,"373,373",,,"2,256,771",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1801,Karagwe,TZ18,Kagera,United Republic of Tanzania,TZA,"480,235",,,"3,520,183",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1802,Bukoba,TZ18,Kagera,United Republic of Tanzania,TZA,"414,945",,,"3,520,183",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1803,Muleba,TZ18,Kagera,United Republic of Tanzania,TZA,"775,192",,,"3,520,183",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1804,Biharamulo,TZ18,Kagera,United Republic of Tanzania,TZA,"463,841",,,"3,520,183",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1805,Ngara,TZ18,Kagera,United Republic of Tanzania,TZA,"466,775",,,"3,520,183",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1806,Bukoba Urban,TZ18,Kagera,United Republic of Tanzania,TZA,"186,580",,,"3,520,183",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1807,Missenyi,TZ18,Kagera,United Republic of Tanzania,TZA,"276,668",,,"3,520,183",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1808,Kyerwa,TZ18,Kagera,United Republic of Tanzania,TZA,"455,948",,,"3,520,183",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1901,Ukerewe,TZ19,Mwanza,United Republic of Tanzania,TZA,"551,394",,,"4,167,848",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1902,Magu,TZ19,Mwanza,United Republic of Tanzania,TZA,"331,206",,,"4,167,848",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1903,Nyamagana,TZ19,Mwanza,United Republic of Tanzania,TZA,"686,309",,,"4,167,848",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1904,Kwimba,TZ19,Mwanza,United Republic of Tanzania,TZA,"443,350",,,"4,167,848",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1905,Sengerema,TZ19,Mwanza,United Republic of Tanzania,TZA,"1,127,678",,,"4,167,848",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1906,Ilemela,TZ19,Mwanza,United Republic of Tanzania,TZA,"441,891",,,"4,167,848",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ1907,Misungwi,TZ19,Mwanza,United Republic of Tanzania,TZA,"586,020",,,"4,167,848",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2001,Tarime,TZ20,Mara,United Republic of Tanzania,TZA,"482,196",,,"2,660,621",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2002,Serengeti,TZ20,Mara,United Republic of Tanzania,TZA,"434,122",,,"2,660,621",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2003,Musoma,TZ20,Mara,United Republic of Tanzania,TZA,"271,583",,,"2,660,621",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2004,Bunda,TZ20,Mara,United Republic of Tanzania,TZA,"521,450",,,"2,660,621",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2005,Musoma Urban,TZ20,Mara,United Republic of Tanzania,TZA,"198,213",,,"2,660,621",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2006,Rorya,TZ20,Mara,United Republic of Tanzania,TZA,"384,503",,,"2,660,621",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2007,Butiam,TZ20,Mara,United Republic of Tanzania,TZA,"368,553",,,"2,660,621",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2101,Babati,TZ21,Manyara,United Republic of Tanzania,TZA,"504,394",,,"2,376,693",0,0,71284371.86,0,0,,,,,,,,,,,,,,
