Dimension,,,,,,Hazards & Exposure,,Hazards & Exposure,Hazards & Exposure,Hazards & Exposure,Hazards & Exposure,Hazards & Exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resolution,,,,,,Subnational,,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational
Survey Year,,,,,,2023,,2000 - 2022,2000-2022,"n/a

modelled future risk",1980-2018,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measurament,,,,,,index,,meters / year,%,%,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Morogoro,Morogoro,TZA,TZ05,TZ0502,0.729687462,No data,0.00,0.060954064,0.034,0.22009084,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Morogoro,Kilombero,TZA,TZ05,TZ0503,0.251122854,No data,0.00,0.07483672,0.048,0.111717462,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Morogoro,Ulanga,TZA,TZ05,TZ0504,0,No data,0.00,0.06252936,0.091,0.022364025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Morogoro,Morogoro Urban,TZA,TZ05,TZ0505,0.003572253,No data,0.00,0.031111111,0.000,0.0271114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Morogoro,Mvomero,TZA,TZ05,TZ0506,0.316848882,No data,0.00,0.05827033,0.061,0.22584713,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Morogoro,Gairo,TZA,TZ05,TZ0507,0.01270318,No data,0.00,0.067128028,0.000,0.10935983,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Pwani,Bagamoyo,TZA,TZ06,TZ0601,0,0.453078222,0.00,0.124927368,0.028,0.001100383,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Pwani,Kibaha,TZA,TZ06,TZ0602,0,No data,0.00,0.181372549,0.050,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Pwani,Kisarawe,TZA,TZ06,TZ0603,0.40344174,No data,0.00,0.143653101,0.014,0.002288134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Pwani,Mkuranga,TZA,TZ06,TZ0604,0.25228633,0.556459093,0.00,0.258951965,0.019,0.00239131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Pwani,Rufiji,TZA,TZ06,TZ0605,0.073456752,1.344121242,0.00,0.135130163,0.177,0.03506055,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Pwani,Mafia,TZA,TZ06,TZ0606,0.160458195,0.60853612,0.00,0.134615385,0.000,0.004882136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Pwani,Kibaha Urban,TZA,TZ06,TZ0607,0,No data,0.00,0.143607706,0.001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Dar-es-salaam,Kinondoni,TZA,TZ07,TZ0701,0,0.44342368,0.00,0.056097561,0.001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Dar-es-salaam,Ilala,TZA,TZ07,TZ0702,0,0.489215017,0.00,0.068345324,0.014,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Dar-es-salaam,Temeke,TZA,TZ07,TZ0703,0.042349569,0.301903595,0.00,0.079861111,0.022,0.004214704,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Lindi,Kilwa,TZA,TZ08,TZ0801,0.043604564,0.706300105,0.00,0.090196395,0.075,0.020568956,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Lindi,Lindi,TZA,TZ08,TZ0802,0.007969683,0.195052365,0.00,0.191502463,0.058,0.000579677,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Lindi,Nachingwea,TZA,TZ08,TZ0803,0,No data,0.00,0.054224208,0.013,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
